nome;estacao_cod;latitude;longitude;data;max_temp;min_temp;amplitude
BARBACENA;A502;-21.228333;-43.767778;2020-07-31;16.50;12.30;4.20
BARBACENA;A502;-21.228333;-43.767778;2020-08-01;19.70;11.30;8.40
BARBACENA;A502;-21.228333;-43.767778;2020-08-02;20.30;11.20;9.10
BARBACENA;A502;-21.228333;-43.767778;2020-08-03;20.50;8.00;12.50
BARBACENA;A502;-21.228333;-43.767778;2020-08-04;19.50;7.80;11.70
BARBACENA;A502;-21.228333;-43.767778;2020-08-05;19.20;9.50;9.70
BARBACENA;A502;-21.228333;-43.767778;2020-08-06;19.50;9.10;10.40
BARBACENA;A502;-21.228333;-43.767778;2020-08-07;22.20;9.20;13.00
BARBACENA;A502;-21.228333;-43.767778;2020-08-08;22.40;8.70;13.70
BARBACENA;A502;-21.228333;-43.767778;2020-08-09;22.20;10.80;11.40
BARBACENA;A502;-21.228333;-43.767778;2020-08-10;23.80;13.00;10.80
BARBACENA;A502;-21.228333;-43.767778;2020-08-11;25.50;12.20;13.30
BARBACENA;A502;-21.228333;-43.767778;2020-08-12;23.70;14.00;9.70
BARBACENA;A502;-21.228333;-43.767778;2020-08-13;26.50;14.50;12.00
BARBACENA;A502;-21.228333;-43.767778;2020-08-14;27.10;13.90;13.20
BARBACENA;A502;-21.228333;-43.767778;2020-08-15;27.10;12.90;14.20
BARBACENA;A502;-21.228333;-43.767778;2020-08-16;26.60;15.40;11.20
BARBACENA;A502;-21.228333;-43.767778;2020-08-17;26.30;15.00;11.30
BARBACENA;A502;-21.228333;-43.767778;2020-08-18;25.10;15.50;9.60
BARBACENA;A502;-21.228333;-43.767778;2020-08-19;29.30;14.80;14.50
BARBACENA;A502;-21.228333;-43.767778;2020-08-20;24.50;14.00;10.50
BARBACENA;A502;-21.228333;-43.767778;2020-08-21;15.50;10.80;4.70
BARBACENA;A502;-21.228333;-43.767778;2020-08-22;11.90;9.90;2.00
BARBACENA;A502;-21.228333;-43.767778;2020-08-23;16.80;8.60;8.20
BARBACENA;A502;-21.228333;-43.767778;2020-08-24;18.40;8.80;9.60
BARBACENA;A502;-21.228333;-43.767778;2020-08-25;19.00;7.60;11.40
BARBACENA;A502;-21.228333;-43.767778;2020-08-26;21.80;6.50;15.30
BARBACENA;A502;-21.228333;-43.767778;2020-08-27;22.40;9.30;13.10
BARBACENA;A502;-21.228333;-43.767778;2020-08-28;22.50;12.80;9.70
BARBACENA;A502;-21.228333;-43.767778;2020-08-29;25.30;12.10;13.20
BARBACENA;A502;-21.228333;-43.767778;2020-08-30;27.40;14.00;13.40
BARBACENA;A502;-21.228333;-43.767778;2020-08-31;26.50;15.30;11.20
BARBACENA;A502;-21.228333;-43.767778;2020-09-01;23.90;14.80;9.10
BARBACENA;A502;-21.228333;-43.767778;2020-09-02;22.90;13.90;9.00
BARBACENA;A502;-21.228333;-43.767778;2020-09-03;25.20;13.00;12.20
BARBACENA;A502;-21.228333;-43.767778;2020-09-04;29.40;12.50;16.90
BARBACENA;A502;-21.228333;-43.767778;2020-09-05;27.00;13.30;13.70
BARBACENA;A502;-21.228333;-43.767778;2020-09-06;29.10;13.10;16.00
BARBACENA;A502;-21.228333;-43.767778;2020-09-07;27.90;14.60;13.30
BARBACENA;A502;-21.228333;-43.767778;2020-09-08;30.30;16.10;14.20
BARBACENA;A502;-21.228333;-43.767778;2020-09-09;28.70;14.50;14.20
BARBACENA;A502;-21.228333;-43.767778;2020-09-10;30.40;14.10;16.30
BARBACENA;A502;-21.228333;-43.767778;2020-09-11;30.30;14.30;16.00
BARBACENA;A502;-21.228333;-43.767778;2020-09-12;29.50;16.50;13.00
BARBACENA;A502;-21.228333;-43.767778;2020-09-13;26.60;15.40;11.20
BARBACENA;A502;-21.228333;-43.767778;2020-09-14;28.80;14.90;13.90
BARBACENA;A502;-21.228333;-43.767778;2020-09-15;25.20;14.30;10.90
BARBACENA;A502;-21.228333;-43.767778;2020-09-16;26.70;14.80;11.90
BARBACENA;A502;-21.228333;-43.767778;2020-09-17;30.00;13.70;16.30
BARBACENA;A502;-21.228333;-43.767778;2020-09-18;31.40;14.40;17.00
BARBACENA;A502;-21.228333;-43.767778;2020-09-19;32.80;18.40;14.40
BARBACENA;A502;-21.228333;-43.767778;2020-09-20;26.60;17.40;9.20
BARBACENA;A502;-21.228333;-43.767778;2020-09-21;21.30;15.00;6.30
BARBACENA;A502;-21.228333;-43.767778;2020-09-22;17.40;14.30;3.10
BARBACENA;A502;-21.228333;-43.767778;2020-09-23;16.60;12.70;3.90
BARBACENA;A502;-21.228333;-43.767778;2020-09-24;22.40;13.40;9.00
BARBACENA;A502;-21.228333;-43.767778;2020-09-25;26.80;14.70;12.10
BARBACENA;A502;-21.228333;-43.767778;2020-09-26;29.60;15.50;14.10
BARBACENA;A502;-21.228333;-43.767778;2020-09-27;31.50;16.30;15.20
BARBACENA;A502;-21.228333;-43.767778;2020-09-28;33.90;18.30;15.60
BARBACENA;A502;-21.228333;-43.767778;2020-09-29;31.10;16.90;14.20
BARBACENA;A502;-21.228333;-43.767778;2020-09-30;32.50;18.00;14.50
BARBACENA;A502;-21.228333;-43.767778;2020-10-01;33.30;16.80;16.50
BARBACENA;A502;-21.228333;-43.767778;2020-10-02;33.10;19.80;13.30
BARBACENA;A502;-21.228333;-43.767778;2020-10-03;34.60;18.80;15.80
BARBACENA;A502;-21.228333;-43.767778;2020-10-04;26.60;17.90;8.70
BARBACENA;A502;-21.228333;-43.767778;2020-10-05;29.30;17.30;12.00
BARBACENA;A502;-21.228333;-43.767778;2020-10-06;33.80;17.20;16.60
BARBACENA;A502;-21.228333;-43.767778;2020-10-07;33.50;20.80;12.70
BARBACENA;A502;-21.228333;-43.767778;2020-10-08;31.90;18.00;13.90
BARBACENA;A502;-21.228333;-43.767778;2020-10-09;31.40;18.20;13.20
BARBACENA;A502;-21.228333;-43.767778;2020-10-10;28.80;16.60;12.20
BARBACENA;A502;-21.228333;-43.767778;2020-10-11;17.10;11.50;5.60
BARBACENA;A502;-21.228333;-43.767778;2020-10-12;21.00;12.10;8.90
BARBACENA;A502;-21.228333;-43.767778;2020-10-13;28.40;14.90;13.50
BARBACENA;A502;-21.228333;-43.767778;2020-10-14;29.50;17.20;12.30
BARBACENA;A502;-21.228333;-43.767778;2020-10-15;28.80;15.90;12.90
BARBACENA;A502;-21.228333;-43.767778;2020-10-16;21.10;14.60;6.50
BARBACENA;A502;-21.228333;-43.767778;2020-10-17;17.60;12.70;4.90
BARBACENA;A502;-21.228333;-43.767778;2020-10-18;20.30;12.40;7.90
BARBACENA;A502;-21.228333;-43.767778;2020-10-19;19.10;14.00;5.10
BARBACENA;A502;-21.228333;-43.767778;2020-10-20;20.40;14.90;5.50
BARBACENA;A502;-21.228333;-43.767778;2020-10-21;26.60;15.90;10.70
BARBACENA;A502;-21.228333;-43.767778;2020-10-22;20.40;14.80;5.60
BARBACENA;A502;-21.228333;-43.767778;2020-10-23;22.60;13.20;9.40
BARBACENA;A502;-21.228333;-43.767778;2020-10-24;18.20;14.40;3.80
BARBACENA;A502;-21.228333;-43.767778;2020-10-25;24.20;15.50;8.70
BARBACENA;A502;-21.228333;-43.767778;2020-10-26;25.50;14.40;11.10
BARBACENA;A502;-21.228333;-43.767778;2020-10-27;28.80;15.50;13.30
BARBACENA;A502;-21.228333;-43.767778;2020-10-28;31.30;18.40;12.90
BARBACENA;A502;-21.228333;-43.767778;2020-10-29;30.60;17.10;13.50
BARBACENA;A502;-21.228333;-43.767778;2020-10-30;26.10;16.30;9.80
